"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","tearDown","SeleniumSuite","Fri Aug 08 10:55:56 ICT 2025","broken","Fri Aug 08 10:55:56 ICT 2025","tests.web.SafeRailway.RegisterAccount","RegisterAccount","tests.web.SafeRailway.RegisterAccount","tearDown"
"","4","startTest","SeleniumSuite","Fri Aug 08 11:12:48 ICT 2025","broken","Fri Aug 08 11:12:48 ICT 2025","tests.web.SafeRailway.RegisterAccount","RegisterAccount","tests.web.SafeRailway.RegisterAccount","startTest"
"","12547","Navigate To Register Page","SeleniumSuite","Fri Aug 08 14:27:47 ICT 2025","passed","Fri Aug 08 14:27:59 ICT 2025","tests.web.SafeRailway.RegisterAccount","RegisterAccount","tests.web.SafeRailway.RegisterAccount","testNavigateToRegisterPage"
"","255","Get User By ID","SeleniumSuite","Fri Aug 08 14:28:11 ICT 2025","passed","Fri Aug 08 14:28:12 ICT 2025","tests.api.MockAPI.MockUserAPI","MockUserAPI","tests.api.MockAPI.MockUserAPI","testGetUserById"
"","1208","Create User","SeleniumSuite","Fri Aug 08 14:28:09 ICT 2025","passed","Fri Aug 08 14:28:10 ICT 2025","tests.api.MockAPI.MockUserAPI","MockUserAPI","tests.api.MockAPI.MockUserAPI","testCreateUser"
"","271","Get All Users","SeleniumSuite","Fri Aug 08 14:28:11 ICT 2025","passed","Fri Aug 08 14:28:11 ICT 2025","tests.api.MockAPI.MockUserAPI","MockUserAPI","tests.api.MockAPI.MockUserAPI","testGetAllUsers"
"","770","Delete User By ID","SeleniumSuite","Fri Aug 08 14:28:10 ICT 2025","passed","Fri Aug 08 14:28:11 ICT 2025","tests.api.MockAPI.MockUserAPI","MockUserAPI","tests.api.MockAPI.MockUserAPI","testDeleteUserById"
"","4","setupLocators","SeleniumSuite","Fri Aug 08 11:16:04 ICT 2025","broken","Fri Aug 08 11:16:04 ICT 2025","tests.web.SafeRailway.RegisterAccount","RegisterAccount","tests.web.SafeRailway.RegisterAccount","setupLocators"
"","4","setUp","SeleniumSuite","Fri Aug 08 10:55:56 ICT 2025","broken","Fri Aug 08 10:55:56 ICT 2025","tests.web.SafeRailway.RegisterAccount","RegisterAccount","tests.web.SafeRailway.RegisterAccount","setUp"
"","529","Update User By ID","SeleniumSuite","Fri Aug 08 14:28:12 ICT 2025","passed","Fri Aug 08 14:28:12 ICT 2025","tests.api.MockAPI.MockUserAPI","MockUserAPI","tests.api.MockAPI.MockUserAPI","testUpdateUserById"
"","4084","Verify header title on Selenium documentation page","SeleniumSuite","Fri Aug 08 14:28:04 ICT 2025","passed","Fri Aug 08 14:28:08 ICT 2025","tests.web.Selenium.SeleniumDocTest","SeleniumDocTest","tests.web.Selenium.SeleniumDocTest","testSeleniumHeaderTitle"
"","4","setup","SeleniumSuite","Fri Aug 08 13:56:51 ICT 2025","broken","Fri Aug 08 13:56:51 ICT 2025","tests.api.MockAPI.MockUserAPI","MockUserAPI","tests.api.MockAPI.MockUserAPI","setup"
